Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop
1952,3058.3421009988665,600,17.1167,160,31,43183.569
1953,5270.751605797841,690,16.7333,80,30,43495.03
1955,3701.2587780665353,502,17.15,130,28,44217.857
1957,1835.6028792170202,420,16.1333,110,26,45152.252
1958,1491.9335631645251,582,16.4167,187,25,45653.805
1959,5466.141486913496,485,17.4833,187,24,46128.638
1960,1152.199785418771,763,16.4167,290,23,46583.995
1961,8302.635313680717,830,17.3333,38,22,47128.005
1962,2747.998894534591,697,16.3,52,21,48088.673
1963,1398.7415955464037,608,15.7167,155,20,48798.99
1964,2540.2765983252216,402,17.2667,96,19,49356.943
1965,882.2083486433355,602,15.3667,267,18,49801.821
1966,3924.2410602031546,819,16.5333,86,17,50254.966
1967,1588.3138345043624,714,16.2333,118,16,50650.406
1968,874.916323117782,610,16.2,292,15,51034.413
1969,969.2555000355198,575,16.55,244,14,51470.276
1970,3357.420504288119,622,16.6667,89,13,51918.389
1971,2262.0533711309945,551,16.7667,112,12,52431.647
1972,841.7880420850275,536,14.9833,158,11,52894.183
1973,1296.3763795411362,376,17.0667,123,10,53332.805
1974,920.3262723791357,574,16.3,184,9,53689.61
1975,2496.4581118812594,572,16.95,171,8,53955.042
1976,2104.2791713578436,418,17.65,247,7,54159.049
1977,888.316635604381,821,15.5833,87,6,54378.362
1978,2245.3759587150876,763,15.8167,51,5,54602.193
1979,1780.6402169479481,717,16.1667,122,4,54835.832
1980,1128.3687120844752,578,16,74,3,55110.236
